"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4IV4G9SX","journalArticle","2016","Repass, John; Maherali, Nimet; Owen, Kate","Registered report: Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma","Elife","","2050-084X","10.7554/elife.10012","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et at, 2014). This Registered Report describes the proposed replication plan of key experiments from 'Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma' by Castellarin and colleagues published in Genome Research in 2012 (Castellarin et al., 2012). The experiment to be replicated is reported in Figure 2. Here, Castellarin and colleagues performed a metagenomic analysis of colorectal carcinoma (CRC) to identify potential associations between inflammatory microorganisms and gastrointestinal cancers. They conducted quantitative real-time PCR on genomic DNA isolated from tumor and matched normal biopsies from a patient cohort and found that the overall abundance of Fusobacterium was 415 times greater in CRC versus adjacent normal tissue. These results confirmed earlier studies and provide evidence for a link between tissue-associated bacteria and tumorigenesis. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.","2016-02-11","2019-10-07 21:20:26","2019-10-08 22:06:41","","e10012","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000369796500001","","C:\Users\zn18986\Zotero\storage\2PLMHB3V\Repass et al. - 2016 - Registered report Fusobacterium nucleatum infecti.pdf","","cancer; bacterial; dysbiosis; gut microbiota; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCE8ZBLT","journalArticle","2019","Rice, Danielle B.; Moher, David","Curtailing the Use of Preregistration: A Misused Term","Perspectives on Psychological Science","","1745-6916","10.1177/1745691619858427","","Improving the usability of psychological research has been encouraged through practices such as prospectively registering research plans. Registering research aligns with the open-science movement, as the registration of research protocols in publicly accessible domains can result in reduced research waste and increased study transparency. In medicine and psychology, two different terms, registration and preregistration, have been used to refer to study registration, but applying inconsistent terminology to represent one concept can complicate both educational outreach and epidemiological investigation. Consistently using one term across disciplines to refer to the concept of study registration may improve the understanding and uptake of this practice, thereby supporting the movement toward improving the reliability and reproducibility of research through study registration. We recommend encouraging use of the original term, registration, given its widespread and long-standing use, including in national registries.","2019","2019-10-07 21:20:26","2019-10-28 20:55:24","","UNSP 1745691619858427","","","","","Perspect. Psychol. Sci.","","","","","","","","English","","","","","","","WOS:000483904100001","<p>""The terms registration (Dickersin, 2003) and preregistration (Nosek et al., 2018) are used inconsistently, and the intended distinction between the two terms is largely unknown. The Registered Reports initiative can further muddy the terminology (Chambers, 2013).""</p> <p>description of RR process</p> <p>""Although Registered Report and study registration do not refer to exactly the same concept, they are sometimes confused. For example...""</p> <p> </p>","C:\Users\zn18986\Zotero\storage\QWKQZ25I\Rice and Moher - Curtailing the Use of Preregistration A Misused T.pdf","","preregistration; include; history_registration; trial_registration; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FQD5DZF","journalArticle","2016","Richarson, Adam D.; Scott, David A.; Zagnitko, Olga; Aza-Blanc, Pedro; Chang, Chih-Cheng; Russler-Germain, David A.","Registered report: IDH mutation impairs histone demethylation and results in a block to cell differentiation","Elife","","2050-084X","10.7554/elife.10860","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from ""IDH mutation impairs histone demethylation and results in a block to cell differentiation"" by Lu and colleagues, published in Nature in 2012 (Lu et al., 2012). The experiments that will be replicated are those reported in Figures 1B, 2A, 2B, 2D and 4D. Lu and colleagues demonstrated that expression of mutant forms of IDH1 or IDH2 caused global increases in histone methylation and increased levels of 2 hydroxyglutarate (Figure 1B). This was correlated with a block in differentiation (Figures 2A, B and D). This effect appeared to be mediated by the histone demethylase KDM4C (Figure 4D). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Scienceand Science Exchange, and the results of the replications will be published by eLife.","2016-03-14","2019-10-07 21:20:26","2019-10-08 22:06:41","","e10860","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371893700001","","C:\Users\zn18986\Zotero\storage\M8S8CGH5\Richarson et al. - 2016 - Registered report IDH mutation impairs histone de.pdf","","isocitrate dehydrogenase mutations; 2-hydroxyglutarate; hypermethylation; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCEE9MWV","journalArticle","2017","Robertson, Miranda","Who needs registered reports?","Bmc Biology","","1741-7007","10.1186/s12915-017-0394-2","","Registered Reports, an article format initiated to help promote transparency and reproducibility in the preclinical and social sciences, are spreading into the biological literature. The format is now offered by BMC Biology, in a spirit of experiment.","2017-06-15","2019-10-07 21:20:26","2019-10-28 22:42:08","","49","","","15","","BMC Biol.","","","","","","","","English","","","","","","","WOS:000403322700001","","C:\Users\zn18986\Zotero\storage\DYX23A4J\Robertson - 2017 - Who needs registered reports.pdf","","include_key; empirical_case_study; announcement_RRs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6NP3YFB","journalArticle","2016","Rosenthal-von der Puetten, Astrid; Elson, Malte; Winter, Stephan","Comment on the Position Paper on the Situation of the General Psychology from the media psychology Perspective","Psychologische Rundschau","","0033-3042","","","","2016-07","2019-10-07 21:20:26","2019-10-09 18:56:43","","198-199","","3","67","","Psychol. Rundsch.","","","","","","","","German","","","","","","","WOS:000380391300012","","","","⛔ No DOI found; registered-reports; exclude_no doi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAKR2ELM","journalArticle","2018","Rothermund, Klaus; Koole, Sander L.","Three decades of Cognition & Emotion: A brief review of past highlights and future prospects","Cognition & Emotion","","0269-9931","10.1080/02699931.2018.1418197","","Over the past three decades, Cognition & Emotion has been one of the world's leading outlets for emotion research. In this article, we review past highlights of and future prospects for the journal. Our tour of history covers three periods: The first period, from 1987 to 1999, was a pioneering era in which cognitive theories began to be applied to the scientific analysis of emotion. The second period, from 2000 to 2007, was characterised by a sharp increase in the number of empirical research papers, a lot of which were concerned with automatic processing biases and their implications for clinical psychology. During the third period, from 2008 to 2017, a new focus emerged on self-regulatory processes and their implications for emotion. We then turn to the present profile of Cognition & Emotion and introduce our new editorial team. Finally, we consider how the journal's future success can be continued and increased by a) providing authors with fast and high-quality feedback; b) offering attractive publication formats, including the newly introduced Registered Reports for pre-registered studies; and c) consolidating key methodological paradigms with reproducible findings.","2018","2019-10-07 21:20:26","2019-10-28 20:29:07","","1-12","","1","32","","Cogn. Emot.","","","","","","","","English","","","","","","","WOS:000424988300001","<p>Unfortunately,<br />the RRR section has not yet drawn many submissions,<br />perhaps because the field needs some time to adjust<br />to the new research climate. Nevertheless, the RRR<br />section demonstrates the commitment of Cognition<br />&amp; Emotion to the goals of testing and improving the<br />reproducibility of emotion research.</p> <p> </p> <p>We<br />want to further promote the use of pre-registration as<br />a tool for confirmatory research and our aim is to make<br />it more flexible and broader than it was before. For this<br />purpose, we have changed the RRR section into a<br />Registered Reports (RR) section, that is, authors can<br />submit any form of research to the RR section, including<br />close replications and conceptual replications, but<br />also studies addressing new research questions or<br />advancing new manipulations and paradigms. All of<br />these forms of research are acceptable, as long as<br />they adhere to the basic ground rules for pre-registered<br />research. The RR section is thus no longer<br />restricted to registered replication studies.</p>","C:\Users\zn18986\Zotero\storage\2QUEZTZ5\Rothermund and Koole - 2018 - Three decades of Cognition & Emotion A brief revi.pdf","","psychology; disorders; psychopathology; affective processing biases; anxiety; appraisal; basic emotions; cognition and emotion; cognitive theories of emotion; emotion regulation; Historical review; life; memory; perspectives; registered replication report; special-issue; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIEN55CQ","journalArticle","2015","Rotteveel, Mark; Gierholz, Alexander; Koch, Gijs; van Aalst, Cherelle; Pinto, Yair; Matzke, Dora; Steingroever, Helen; Verhagen, Josine; Beek, Titia F.; Selker, Ravi; Sasiadek, Adam; Wagenmakers, Eric-Jan","On the automatic link between affect and tendencies to approach and avoid: Chen and Bargh (1999) revisited","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2015.00335","","Within the literature on emotion and behavioral action, studies on approach-avoidance take up a prominent place. Several experimental paradigms feature successful conceptual replications but many original studies have not yet been replicated directly. We present such a direct replication attempt of two seminal experiments originally conducted by Chen and Bargh (1999). In their first experiment, participants effectively evaluated attitude objects by pulling or pushing a lever. Participants who had to pull the lever with positively valenced attitude objects and push the lever with negatively valenced attitude objects (i.e., congruent instruction) did so faster than participants who had to follow the reverse (i.e., incongruent) instruction. In Chen and Bargh's second experiment, the explicit evaluative instructions were absent and participants merely responded to the attitude objects by either always pushing or always pulling the lever. Similar results were obtained as in Experiment 1. Based on these findings, Chen and Bargh concluded that (1) attitude objects are evaluated automatically; and (2) attitude objects automatically trigger a behavioral tendency to approach or avoid. We attempted to replicate both experiments and failed to find the effects reported by Chen and Bargh as indicated by our pre-registered Bayesian data analyses; nevertheless, the evidence in favor of the null hypotheses was only anecdotal, and definitive conclusions await further study.","2015-04-02","2019-10-07 21:20:26","2019-10-09 14:29:33","","335","","","6","","Front. Psychol.","","","","","","","","English","","","","","","","WOS:000352203900001","","C:\Users\zn18986\Zotero\storage\TFDIVB2R\Rotteveel et al. - 2015 - On the automatic link between affect and tendencie.pdf","","replication; registered-reports; crisis; hypothesis; affect; approach; avoidance; default bayes factors; emotion; generality; predispositions; exclude_only reference to rr is description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPE365W4","journalArticle","2017","Rubin, Mark","An Evaluation of Four Solutions to the Forking Paths Problem: Adjusted Alpha, Preregistration, Sensitivity Analyses, and Abandoning the Neyman-Pearson Approach","Review of General Psychology","","1089-2680","10.1037/gpr0000135","","Gelman and Loken (2013, 2014) proposed that when researchers base their statistical analyses on the idiosyncratic characteristics of a specific sample (e.g., a nonlinear transformation of a variable because it is skewed), they open up alternative analysis paths in potential replications of their study that are based on different samples (i.e., no transformation of the variable because it is not skewed). These alternative analysis paths count as additional (multiple) tests and, consequently, they increase the probability of making a Type I error during hypothesis testing. The present article considers this forking paths problem and evaluates four potential solutions that might be used in psychology and other fields: (a) adjusting the prespecified alpha level, (b) preregistration, (c) sensitivity analyses, and (d) abandoning the Neyman-Pearson approach. It is concluded that although preregistration and sensitivity analyses are effective solutions to p-hacking, they are ineffective against result-neutral forking paths, such as those caused by transforming data. Conversely, although adjusting the alpha level cannot address p-hacking, it can be effective for result-neutral forking paths. Finally, abandoning the Neyman-Pearson approach represents a further solution to the forking paths problem.","2017-12","2019-10-07 21:20:26","2019-10-09 18:56:44","","321-329","","4","21","","Rev. Gen. Psychol.","","","","","","","","English","","","","","","","WOS:000417900400004","","C:\Users\zn18986\Zotero\storage\9W5WCCWQ\Rubin - 2017 - An Evaluation of Four Solutions to the Forking Pat.pdf","","preregistration; non-empirical; blind_analysis; sensitivity_analysis; exclude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WCLKS5J","journalArticle","2014","Saether, Stig A.; Aspvik, Nils P.","Seasonal Variation in Objectively Assessed Physical Activity among Young Norwegian Talented Soccer Players: A Description of Daily Physical Activity Level","Journal of Sports Science and Medicine","","1303-2968","","","Practise makes perfect' is a well-known expression in most sports, including top-level soccer. However, a high training and match load increases the risk for injury, overtraining and burnout. With the use of accelerometers and a self-report questionnaire, the aim of this study was to describe talented players' physical activity (PA) level. Data were collected three times during the 2011 Norwegian Football season (March, June and October). The accelerometer output, counts .min(-1) (counts per unit time registered), reports the daily PA-level for young talented soccer players. Results showed a stable PA-level across the season (March: 901.2 counts.min(-1), June: 854.9 counts.min(-1), October: 861.5 counts.min(-1)). Furthermore, comparison of five different training sessions across the season showed that the PAlevel ranged from 2435.8 to 3745.4 counts.min(-1). A one-way ANOVA showed no significant differences between the three measured weeks during the soccer season (p <= 0.814). However, the training sessions in January had a significantly higher PAlevel than those in June and October (p <= 0.001). Based on these results, we discuss how potential implications of PA-level affect factors such as risk of injury, overtraining and burnout. We argue that player development must be seen as part of an overall picture in which club training and match load should be regarded as one of many variables influencing players' PA-level","2014-12","2019-10-07 21:20:26","2019-10-09 18:56:39","","964-968","","4","13","","J. Sport. Sci. Med.","","","","","","","","English","","","","","","","WOS:000345121400031","","","","⛔ No DOI found; children; computer-science; fitness; heart-rate; injuries; load; match-play; overload; performance; physical activity; responses; soccer; Talent; youth; youth soccer; exclude_no doi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXSAM8P8","journalArticle","2018","Schoenbrodt, Felix D.; Maier, Markus; Heene, Moritz; Buehner, Markus","Fostering Research Transparency as a Key Property of Science: Concrete Actions for Psychological Departments","Psychologische Rundschau","","0033-3042","10.1026/0033-3042/a000386","","Recent large-scale replication projects suggest an amount of nonreplicable results in the scientific literature, in psychology but also in other sciences, which is concerning from our point of view. We analyze some causes for this situation, and argue that the change toward more research transparency (""open science"") must be one consequence that should be drawn from the credibility crisis. We call for feasible changes in the local research units and departments and show as an example the steps that have been taken at the Department of Psychology of the Ludwig-Maximilians-Universitat Munchen. These changes concern incentive structures, research culture, teaching, and a close integration with the local ethics committee. The goal is to foster a more credible and more reproducible research output without generating unnecessary bureaucratic overhead.","2018-01","2019-10-07 21:20:26","2019-10-09 14:58:13","","37-44","","1","69","","Psychol. Rundsch.","","","","","","","","German","","","","","","","WOS:000419334000004","","","","standards; replication crisis; replicability; incentives; registered reports; truth; credibility crisis; game; research quality; rules; exclude_no_full_text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCU9QY9R","journalArticle","2017","Schoenbrodt, Felix D.; Wagenmakers, Eric-Jan; Zehetleitner, Michael; Perugini, Marco","Sequential Hypothesis Testing With Bayes Factors: Efficiently Testing Mean Differences","Psychological Methods","","1082-989X","10.1037/met0000061","","Unplanned optional stopping rules have been criticized for inflating Type I error rates under the null hypothesis significance testing (NHST) paradigm. Despite these criticisms, this research practice is not uncommon, probably because it appeals to researcher's intuition to collect more data to push an indecisive result into a decisive region. In this contribution, we investigate the properties of a procedure for Bayesian hypothesis testing that allows optional stopping with unlimited multiple testing, even after each participant. In this procedure, which we call Sequential Bayes Factors (SBFs), Bayes factors are computed until an a priori defined level of evidence is reached. This allows flexible sampling plans and is not dependent upon correct effect size guesses in an a priori power analysis. We investigated the long-term rate of misleading evidence, the average expected sample sizes, and the biasedness of effect size estimates when an SBF design is applied to a test of mean differences between 2 groups. Compared with optimal NHST, the SBF design typically needs 50% to 70% smaller samples to reach a conclusion about the presence of an effect, while having the same or lower long-term rate of wrong inference.","2017-06","2019-10-07 21:20:26","2019-10-09 14:00:13","","322-339","","2","22","","Psychol. Methods","","","","","","","","English","","","","","","","WOS:000403498200007","","C:\Users\zn18986\Zotero\storage\C2U3UZEX\Schoenbrodt et al. - 2017 - Sequential Hypothesis Testing With Bayes Factors .pdf","","bias; Bayes factor; hypothesis testing; values; registered-reports; trials; sample-size; rules; accuracy; efficiency; fallacy; fortran-90 program; optional stopping; parameter-estimation; sequential designs; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A488FPH4","journalArticle","2009","Shalviri, G.; Valadkhani, M.; Dinarvand, R.","Ten Years Pharmacovigilance Activities in Iran","Iranian Journal of Public Health","","2251-6085","","","The Adverse Drug Reaction Monitoring Center (ADRMC) in Iran started its activities as a full member of WHO International Drug Monitoring Program in 1998. The Center has followed pharmacovigilance activities in the country with the main goal of increasing drug safety and preventing drug-related morbidity and mortality. To achieve its main goals, ADRMC has developed and implemented spontaneous ADR reporting system by health care professionals. In this article we have tried to elaborate on the achievement of the ADRMC in Iran. A total number of 17967 adverse drug events has been collected and evaluated by the Center. Evaluation of registered reports has led to 86 drug safety alerts to health care professionals, recall of 23 pharmaceutical products and labeling changes of 30 others, suspension on distribution for 8 medicines and withdrawal from national drug list of 4 different products.","2009","2019-10-07 21:20:26","2019-10-09 18:56:38","","162-165","","","38","","Iran J. Public Health","","","","","","","","English","","","","","","","WOS:000266158200043","","","","⛔ No DOI found; admissions; drugs; exclude_no doi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIHCACY4","journalArticle","2018","Shan, Xiaochuan; Danet-Desnoyers, Gwenn; Aird, Fraser; Kandela, Irawati; Tsui, Rachel; Perfito, Nicole; Iorns, Elizabeth","Replication study: androgen receptor splice variants determine taxane sensitivity in prostate cancer","Peerj","","2167-8359","10.7717/peerj.4661","","In 2015, as part of the Prostate Cancer Foundation-Movember Foundation Reproducibility Initiative, we published a Registered Report (Shan et al., 2015) that described how we intended to replicate selected experiments from the paper ""Androgen Receptor Splice Variants Determine Taxane Sensitivity in Prostate Cancer"" (Thadani-Mulero et al., 2014). Here we report the results of those experiments. Growth of tumor xenografts from two prostate cancer xenograft lines, LuCaP 86.2, which expresses wild-type androgen receptor (AR) and AR variant 567, and LuCaP 23.1, which expresses wild-type AR and AR variant 7, were not affected by docetaxel treatment. The LuCaP 23.1 tumor xenografts grew slower than in the original study. This result is different from the original study, which reported significant reduction of tumor growth in the LuCaP 86.2. Furthermore, we were unable to detect ARv7 in the LuCaP 23.1, although we used the antibody as stated in the original study and ensured that it was detecting ARv7 via a known positive control (22rv1, Hornberg et al., 2011). Finally, we report a meta-analysis of the result.","2018-04-16","2019-10-07 21:20:26","2019-10-09 13:59:50","","e4661","","","6","","PeerJ","","","","","","","","English","","","","","","","WOS:000430306100009","","C:\Users\zn18986\Zotero\storage\XXA5GZRP\Shan et al. - 2018 - Replication study androgen receptor splice varian.pdf","","Methodology; Androgen receptor variants; Castration resistant prostate   cancer; cell-lines; Docetaxel; pcfmfri; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SY6KISI","journalArticle","2015","Shan, Xiaochuan; Danet-Desnoyers, Gwenn; Fung, Juan Jose; Kosaka, Alan H.; Tan, Fraser; Perfito, Nicole; Lomax, Joelle; Iorns, Elizabeth","Registered report: androgen receptor splice variants determine taxane sensitivity in prostate cancer","Peerj","","2167-8359","10.7717/peerj.1232","","The Prostate Cancer Foundation-Movember Foundation Reproducibility Initiative seeks to address growing concerns about reproducibility in scientific research by conducting replications of recent papers in the field of prostate cancer. This Registered Report describes the proposed replication plan of key experiments from ""Androgen Receptor Splice Variants Determine Taxane Sensitivity in Prostate Cancer"" by Thadani-Mulero and colleagues (2014) published in Cancer Research in 2014. The experiment that will be replicated is reported in Fig. 6A. Thadani-Mulero and colleagues generated xenografts from two prostate cancer cell lines; LuCaP 86.2, which expresses predominantly the ARv567 splice variant of the androgen receptor (AR), and LuCaP 23.1, which expresses the full length AR as well as the ARv7 variant. Treatment of the tumors with the taxane docetaxel showed that the drug inhibited tumor growth of the LuCaP 86.2 cells but not of the LuCaP 23.1 cells, indicating that expression of splice variants of the AR can affect sensitivity to docetaxel. The Prostate Cancer Foundation-Movember Foundation Reproducibility Initiative is a collaboration between the Prostate Cancer Foundation, the Movember Foundation and Science Exchange, and the results of the replications will be published by PeerJ.","2015-09-15","2019-10-07 21:20:26","2019-10-09 13:58:57","","e1232","","","3","","PeerJ","","","","","","","","English","","","","","","","WOS:000364324400005","","C:\Users\zn18986\Zotero\storage\CE7Z3IQT\Shan et al. - 2015 - Registered report androgen receptor splice varian.pdf","","Methodology; growth; Androgen receptor variants; Docetaxel; pcfmfri; Castration   resistant prostate cancer; docetaxel; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQFS2JM2","journalArticle","2017","Shan, Xiaochuan; Fung, Juan Jose; Kosaka, Alan; Danet-Desnoyers, Gwenn","Replication Study: Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia","Elife","","2050-084X","10.7554/elife.25306","","In 2015, as part of the Reproducibility Project: Cancer Biology, we published a Registered Report (Fung et al., 2015), that described how we intended to replicate selected experiments from the paper ""Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia"" (Dawson et al., 2011). Here, we report the results of those experiments. We found treatment of MLL-fusion leukaemia cells (MV4;11 cell line) with the BET bromodomain inhibitor I-BET151 resulted in selective growth inhibition, whereas treatment of leukaemia cells harboring a different oncogenic driver (K-562 cell line) did not result in selective growth inhibition; this is similar to the findings reported in the original study (Figure 2A and Supplementary Figure 11A,B; Dawson et al., 2011). Further, I-BET151 resulted in a statistically significant decrease in BCL2 expression in MV4;11 cells, but not in K-562 cells; again this is similar to the findings reported in the original study (Figure 3D; Dawson et al., 2011). We did not find a statistically significant difference in survival when testing I-BET151 efficacy in a disseminated xenograft MLL mouse model, whereas the original study reported increased survival in I-BET151 treated mice compared to vehicle control (Figure 4B,D; Dawson et al., 2011). Differences between the original study and this replication attempt, such as different conditioning regimens and I-BET151 doses, are factors that might have influenced the outcome. We also found I-BET151 treatment resulted in a lower median disease burden compared to vehicle control in all tissues analyzed, similar to the example reported in the original study (Supplementary Figure 16A; Dawson et al., 2011). Finally, we report meta-analyses for each result.","2017-06-27","2019-10-07 21:20:26","2019-10-08 22:06:42","","e25306","","","6","","eLife","","","","","","","","English","","","","","","","WOS:000404336400001","","C:\Users\zn18986\Zotero\storage\F32FYZJB\Shan et al. - 2017 - Replication Study Inhibition of BET recruitment t.pdf","","cancer; model; brd4; bromodomain inhibitor; c-myc; cell; kinase inhibitor; potent activity; resistance; target; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGNZW2Q5","journalArticle","2016","Sharma, Vidhu; Young, Lisa; Allison, Anne B.; Owen, Kate","Registered report: Diverse somatic mutation patterns and pathway alterations in human cancers","Elife","","2050-084X","10.7554/elife.11566","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from ""Diverse somatic mutation patterns and pathway alterations in human cancers"" by Kan and colleagues published in Nature in 2010 (Kan et al., 2010). The experiments to be replicated are those reported in Figures 3D-F and 4C-F. Kan and colleagues utilized mismatch repair detection (MRD) technology to identify somatic mutations in primary human tumor samples and identified a previously uncharacterized arginine 243 to histidine (R243H) mutation in the Gprotein a subunit GNAO1 in breast carcinoma tissue. In Figures 3D-F, Kan and colleagues demonstrated that stable expression of mutant GNAO1(R243D) conferred a significant growth advantage in human mammary epithelial cells, confirming the oncogenic potential of this mutation. Similarly, expression of variants with somatic mutations in MAP2K4, a JNK pathway kinase (shown in Figures 4C-E) resulted in a significant increase in anchorage-independent growth. Interestingly, these mutants exhibited reduced kinase activity compared to wild type MAP2K4, indicating these mutations impose a dominant-negative influence to promote growth (Figure 4F). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.","2016-02-19","2019-10-07 21:20:26","2019-10-08 22:06:42","","e11566","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371881000001","","C:\Users\zn18986\Zotero\storage\7WE9TVNZ\Sharma et al. - 2016 - Registered report Diverse somatic mutation patter.pdf","","lung-cancer; colorectal-cancer; decreased risk; g-proteins; kinase kinase 4; map2k4; mkk4; signal-transduction; tumor-suppressor; variant -1304t-greater-than-g; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ZD7P3ZR","journalArticle","2016","Sharma, Vidhu; Young, Lisa; Cavadas, Miguel; Owen, Kate","Registered Report: COT drives resistance to RAF inhibition through MAP kinase pathway reactivation","Elife","","2050-084X","10.7554/elife.11414","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et alg 2014). This Registered Report describes the proposed replication plan of key experiments from ""COT drives resistance to RAF inhibition through MAPK pathway reactivation"" by Johannessen and colleagues, published in Nature in 2010 (Johannessen et an, 2010). The key experiments to be replicated are those reported in Figures 3B, 3D-E, 31, and 4E-F. In Figures 3B, DE, RPMI-7951 and OUMS023 cells were reported to exhibit robust ERK/MEK activity concomitant with reduced growth sensitivity in the presence of the BRAF inhibitor PLX4720. MAP3K8 (COT/ TPL2) directly regulated MEK/ERK phosphorylation, as the treatment of RPMI-7951 cells with a MAP3K8 kinase inhibitor resulted in a dose-dependent suppression of MEK/ERK activity (Figure 31). In contrast, MAP3K8-deficient A375 cells remained sensitive to BRAF inhibition, exhibiting reduced growth and MEK/ERK activity during inhibitor treatment. To determine if RAF and MEK inhibitors together can overcome single-agent resistance, MAP3K8-expressing A375 cells treated with PLX4720 along with MEK inhibitors significantly inhibited both cell viability and ERK activation compared to treatment with PLX4720 alone, as reported in Figures 4E-F. The Reproducibility Project: Cancer Biology is collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.","2016-03-21","2019-10-07 21:20:26","2019-10-08 22:06:42","","e11414","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000373327500001","","C:\Users\zn18986\Zotero\storage\H99WJBMX\Sharma et al. - 2016 - Registered Report COT drives resistance to RAF in.pdf","","cancer; mechanisms; target; b-raf; braf; malignant-melanoma; metastases; protein-kinase; therapy; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
