"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Citekey"
"7L98QJC9","journalArticle","2018","McEwan, Bree; Carpenter, Christopher J.; Westerman, David","On Replication in Communication Science","Communication Studies","","1051-0974","10.1080/10510974.2018.1464938","","Replications are an important part of the research process because they allow for greater confidence in the findings of communication research. However, engaging in replications is often undervalued, replication studies can be difficult to publish, and thus it is difficult for individual scholars to devote their resources toward replication. This essay outlines the importance of replications for communication science and provides a framework for this special issue on replications. The authors also issue a call for communication scholars to consider future projects and structural changes that would incentivize future replication studies.","2018","2019-10-07 21:20:26","2019-10-28 20:29:07","","235-241","","3","69","","Commun. Stud.","","","","","","","","English","","","","","","","WOS:000436192200001","","C:\Users\zn18986\Zotero\storage\7UYAJ2XC\McEwan et al. - 2018 - On Replication in Communication Science.pdf","","design; Quantitative Methods; Communication Research; Communication Science; Meta-Analysis; Registered   Reports; Replications; include; note","","mcewan2018"
"CAK5N2LQ","journalArticle","2017","McIntosh, Robert D.","Exploratory reports: A new article type for Cortex","Cortex","","0010-9452","10.1016/j.cortex.2017.07.014","","","2017-11","2019-10-07 21:20:26","2019-10-28 20:55:02","","A1-A4","","","96","","Cortex","","","","","","","","English","","","","","","","WOS:000415912600001","","C:\Users\zn18986\Zotero\storage\PM6P7UJ3\McIntosh - 2017 - Exploratory reports A new article type for Cortex.pdf","","incentives; registered-reports; include_key","","mcintosh2017"
"SGPZ8CRY","journalArticle","2019","Mehlenbacher, Ashley Rose","Registered Reports: Genre Evolution and the Research Article","Written Communication","","0741-0883","10.1177/0741088318804534","","The research article is a staple genre in the economy of scientific research, and although research articles have received considerable treatment in genre scholarship, little attention has been given to the important development of Registered Reports. Registered Reports are an emerging, hybrid genre that proceeds through a two-stage model of peer review. This article charts the emergence of Registered Reports and explores how this new form intervenes in the evolution of the research article genre by replacing the central topoi of novelty with methodological rigor. Specifically, I investigate this discursive and publishing phenomenon by describing current conversations about challenges in replicating research studies, the rhetorical exigence those conversations create, and how Registered Reports respond to this exigence. Then, to better understand this emerging form, I present an empirical study of the genre itself by closely examining four articles published under the Registered Report model from the journal Royal Society Open Science and then investigating the genre hybridity by examining 32 protocols (Stage 1 Registered Reports) and 77 completed (Stage 2 Registered Reports) from a range of journals in the life and psychological sciences. Findings from this study suggest Registered Reports mark a notable intervention in the research article genre for life and psychological sciences, centering the reporting of science in serious methodological debates.","2019-01","2019-10-07 21:20:26","2019-10-28 23:06:46","","38-67","","1","36","","Writ. Commun.","","","","","","","","English","","","","","","","WOS:000453569000003","","C:\Users\zn18986\Zotero\storage\I242KRHE\Mehlenbacher - 2019 - Registered Reports Genre Evolution and the Resear.pdf","","empirical; include_key","","mehlenbacher2019"
"IYEGYASA","journalArticle","2017","Munafo, Marcus R.","Improving the Efficiency of Grant and Journal Peer Review: Registered Reports Funding","Nicotine & Tobacco Research","","1462-2203","10.1093/ntr/ntx081","","","2017-07","2019-10-07 21:20:26","2019-10-28 23:01:19","","773-773","","7","19","","Nicotine Tob. Res.","","","","","","","","English","","","","","","","WOS:000404930300001","","C:\Users\zn18986\Zotero\storage\DNYC7NG5\Munafo - 2017 - Improving the Efficiency of Grant and Journal Peer.pdf","","nicotine; tobacco research; include; note; funder_rr_partnerships; announcement_funder_rr_partnership","","munafo2017"
"CLJVCE66","journalArticle","2017","Munafo, Marcus R.; Nosek, Brian A.; Bishop, Dorothy V. M.; Button, Katherine S.; Chambers, Christopher D.; du Sert, Nathalie Percie; Simonsohn, Uri; Wagenmakers, Eric-Jan; Ware, Jennifer J.; Ioannidis, John P. A.","A manifesto for reproducible science","Nature Human Behaviour","","2397-3374","10.1038/s41562-016-0021","","Improving the reliability and efficiency of scientific research will increase the credibility of the published scientific literature and accelerate discovery. Here we argue for the adoption of measures to optimize key elements of the scientific process: methods, reporting and dissemination, reproducibility, evaluation and incentives. There is some evidence from both simulations and empirical studies supporting the likely effectiveness of these measures, but their broad adoption by researchers, institutions, funders and journals will require iterative evaluation and improvement. We discuss the goals of these measures, and how they can be implemented, in the hope that this will facilitate action toward improving the transparency, reproducibility and efficiency of scientific research.","2017-01","2019-10-07 21:20:26","2019-10-28 20:55:17","","UNSP 0021","","1","1","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000418775900021","","C:\Users\zn18986\Zotero\storage\VI8TJSD4\Munafo et al. - 2017 - A manifesto for reproducible science.pdf","","include; note; funder_rr_partnerships","","munafo2017a"
"74DU8K73","journalArticle","2014","Munafo, Marcus R.; Strain, Eric","Registered Reports: A new submission format at Drug and Alcohol Dependence","Drug and Alcohol Dependence","","0376-8716","10.1016/j.drugalcdep.2014.02.699","","","2014-04-01","2019-10-07 21:20:26","2019-10-28 22:35:20","","1-2","","","137","","Drug Alcohol Depend.","","","","","","","","English","","","","","","","WOS:000334134200001","","C:\Users\zn18986\Zotero\storage\M9VV8Z65\Munafo and Strain - 2014 - Registered Reports A new submission format at Dru.pdf","","include; announcement_RRs; note","","munafo2014"
"MFYM7HUB","journalArticle","2018","Nosek, Brian A.; Ebersole, Charles R.; DeHaven, Alexander C.; Mellor, David T.","The preregistration revolution","Proceedings of the National Academy of Sciences of the United States of America","","0027-8424","10.1073/pnas.1708274114","","Progress in science relies in part on generating hypotheses with existing observations and testing hypotheses with new observations. This distinction between postdiction and prediction is appreciated conceptually but is not respected in practice. Mistaking generation of postdictions with testing of predictions reduces the credibility of research findings. However, ordinary biases in human reasoning, such as hindsight bias, make it hard to avoid this mistake. An effective solution is to define the research questions and analysis plan before observing the research outcomes-a process called preregistration. Preregistration distinguishes analyses and outcomes that result from predictions from those that result from postdictions. A variety of practical strategies are available to make the best possible use of preregistration in circumstances that fall short of the ideal application, such as when the data are preexisting. Services are now available for preregistration across all disciplines, facilitating a rapid increase in the practice. Widespread adoption of preregistration will increase distinctiveness between hypothesis generation and hypothesis testing and will improve the credibility of research findings.","2018-03-13","2019-10-07 21:20:26","2019-10-28 20:29:07","","2600-2606","","11","115","","Proc. Natl. Acad. Sci. U. S. A.","","","","","","","","English","","","","","","","WOS:000427245400039","","","","transparency; open science; methodology; confirmatory analysis; exploratory analysis; preregistration; bias; psychology; science; registration; file drawer; registered reports; inference; truth; false; include; note","","nosek2018"
"HYVN4UXV","journalArticle","2017","Nosek, Brian A.; Errington, Timothy M.","Reproducibility in Cancer Biology: Making sense of replications","Elife","","2050-084X","10.7554/elife.23383","","The first results from the Reproducibility Project: Cancer Biology suggest that there is scope for improving reproducibility in pre-clinical cancer research.","2017-01-19","2019-10-07 21:20:26","2019-10-28 21:42:07","","e23383","","","6","","eLife","","","","","","","","English","","","","","","","WOS:000393400300001","","C:\Users\zn18986\Zotero\storage\3FHM4XSP\Nosek and Errington - 2017 - Reproducibility in Cancer Biology Making sense of.pdf","","registered-reports; include; note","","nosek2017"
"NJG8WNF4","journalArticle","2014","Nosek, Brian A.; Lakens, Daniel","Registered Reports A Method to Increase the Credibility of Published Results","Social Psychology","","1864-9335","10.1027/1864-9335/a000192","","","2014","2019-10-07 21:20:26","2019-10-31 11:23:19","","137-141","","3","45","","Soc. Psychol.","","","","","","","","English","","","","","","","WOS:000336836900001","","C:\Users\zn18986\Zotero\storage\2D33R7JS\Nosek and Lakens - 2014 - Registered Reports A Method to Increase the Credib.pdf","","standards; bias; science; metaanalysis; ambady; pittinsky; replication attempt; stereotype susceptibility shih; warmth; include; announcement_RRs; note","","nosek2014"
"VRK8JL9J","journalArticle","2015","Nyhan, Brendan","Increasing the Credibility of Political Science Research: A Proposal for Journal Reforms","Ps-Political Science & Politics","","1049-0965","10.1017/s1049096515000463","","","2015-09","2019-10-07 21:20:26","2019-10-28 20:29:36","","78-83","","","48","","PS-Polit. Sci. Polit.","","","","","","","","English","","","","","","","WOS:000359291900014","","C:\Users\zn18986\Zotero\storage\RNNRAVNE\Nyhan - 2015 - Increasing the Credibility of Political Science Re.pdf","","replication; transparency; publication bias; registered-reports; gender; medicaid; include; note","","nyhan2015"
"CW62F9N2","journalArticle","2019","Olff, Miranda","Facts on psychotraumatology","European Journal of Psychotraumatology","","2000-8198","10.1080/20008198.2019.1578524","","Daily news is dominated by reports of traumatic events across the world. Is trauma indeed rather the norm than the exception? What are the facts? How can we better understand, prevent and treat the consequences of trauma? This past year the European Journal of Psychotraumatology (EJPT) has again tried to address these questions. With the gold Open Access model articles in the journal are being made immediately available without any barriers to access. In Europe, promising developments with regard to Open Science emerged in 2018, for instance, cOAlition S with their ambitious Plan S boosting the transition to full Open Access. In this editorial these and other developments in the journal, such as Registered Reports as a way to reduce Questionable Research Practices (QRPs), journal metrics, and the ESTSS EJPT award finalists for best paper of 2018 are being presented.","2019-01-01","2019-10-07 21:20:26","2019-10-28 20:29:07","","1578524","","1","10","","Eur. J. Psychotraumatol.","","","","","","","","English","","","","","","","WOS:000459808000001","","C:\Users\zn18986\Zotero\storage\Z4CFGPLU\Olff - 2019 - Facts on psychotraumatology.pdf","","registered reports; impact factor; Altmetrics; Open Access; Psychotrauma; ptsd; special   issues; include; note","","olff2019"
"WIXWNVYT","journalArticle","2014","Parker, Richard M. A.; Browne, William J.","The Place of Experimental Design and Statistics in the 3Rs","Ilar Journal","","1084-2020","10.1093/ilar/ilu044","","The 3Rs-replacement, reduction, and refinement-can be applied to any animal experiment by researchers and other bodies seeking to conduct those studies in as humane a manner as possible. Key to the success of this endeavor is an appreciation of the principles of good experimental design and analysis; these need to be considered in concert before any data is collected. Indeed, many of the principles central to helping achieve the objectives of the 3Rs-such as conducting valid, reliable, and efficient experiments; clearly and transparently reporting findings; and ensuring that an appreciation and understanding of animal welfare plays a central role in laboratory practice-are to the betterment of research per se.","2014","2019-10-07 21:20:26","2019-11-04 14:30:10","","477-485","","3","55","","ILAR J.","","","","","","","","English","","","","","","","WOS:000348058400011","","C:\Users\zn18986\Zotero\storage\ZRK2X3DN\Parker and Browne - 2014 - The Place of Experimental Design and Statistics in.pdf","","statistics; science; experimental design; registered-reports; guidelines; 3Rs; animal welfare; animals; laboratory animals; points; power calculations; reduction; refinement; replacement; size; welfare; include; note","","parker2014"
"BKFVXTIM","journalArticle","2019","Parker, Timothy; Fraser, Hannah; Nakagawa, Shinichi","Making conservation science more reliable with preregistration and registered reports","Conservation Biology","","0888-8892","10.1111/cobi.13342","","","2019-08","2019-10-07 21:20:26","2019-10-28 23:21:05","","747-750","","4","33","","Conserv. Biol.","","","","","","","","English","","","","","","","WOS:000474668700001","","C:\Users\zn18986\Zotero\storage\9QYJHISA\Parker et al. - 2019 - Making conservation science more reliable with pre.pdf","","include_key_has_critique","","parker2019"
"C78R7RHD","journalArticle","2015","Probst, Tahira M.; Hagger, Martin S.","Advancing the Rigour and Integrity of Our Science: The Registered Reports Initiative","Stress and Health","","1532-3005","10.1002/smi.2645","","","2015-08","2019-10-07 21:20:26","2019-10-28 20:32:54","","177-179","","3","31","","Stress Health","","","","","","","","English","","","","","","","WOS:000359296200001","","C:\Users\zn18986\Zotero\storage\FY55LZMX\Probst and Hagger - 2015 - Advancing the Rigour and Integrity of Our Science.pdf","","include; note","","probst2015"
"XSHL3NXS","journalArticle","2019","Przybylski, Andrew K.; Weinstein, Netta","Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report","Royal Society Open Science","","2054-5703","10.1098/rsos.171474","","In this study, we investigated the extent to which adolescents who spend time playing violent video games exhibit higher levels of aggressive behaviour when compared with those who do not. A large sample of British adolescent participants (n = 1004) aged 14 and 15 years and an equal number of their carers were interviewed. Young people provided reports of their recent gaming experiences. Further, the violent contents of these games were coded using official EU and US ratings, and carers provided evaluations of their adolescents' aggressive behaviours in the past month. Following a preregistered analysis plan, multiple regression analyses tested the hypothesis that recent violent game play is linearly and positively related to carer assessments of aggressive behaviour. Results did not support this prediction, nor did they support the idea that the relationship between these factors follows a nonlinear parabolic function. There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour. The discussion presents an interpretation of this pattern of effects in terms of both the ongoing scientific and policy debates around violent video games, and emerging standards for robust evidence- based policy concerning young people's technology use.","2019-02","2019-10-07 21:20:26","2019-11-04 16:43:55","","171474","","2","6","","R. Soc. Open Sci.","","","","","","","","English","","","","","","","WOS:000465432900001","","C:\Users\zn18986\Zotero\storage\5ML7IV6K\Przybylski and Weinstein - 2019 - Violent video game engagement is not associated wi.pdf","","include; note; empirical_RR","","przybylski2019"
"WW3TFTCV","journalArticle","2019","Pustejovskyei, James E.; Rodgers, Melissa A.","Testing for funnel plot asymmetry of standardized mean differences","Research Synthesis Methods","","1759-2879","10.1002/jrsm.1332","","Publication bias and other forms of outcome reporting bias are critical threats to the validity of findings from research syntheses. A variety of methods have been proposed for detecting selective outcome reporting in a collection of effect size estimates, including several methods based on assessment of asymmetry of funnel plots, such as the Egger's regression test, the rank correlation test, and the Trim-and-Fill test. Previous research has demonstated that the Egger's regression test is miscalibrated when applied to log-odds ratio effect size estimates, because of artifactual correlation between the effect size estimate and its standard error. This study examines similar problems that occur in meta-analyses of the standardized mean difference, a ubiquitous effect size measure in educational and psychological research. In a simulation study of standardized mean difference effect sizes, we assess the Type I error rates of conventional tests of funnel plot asymmetry, as well as the likelihood ratio test from a three-parameter selection model. Results demonstrate that the conventional tests have inflated Type I error due to the correlation between the effect size estimate and its standard error, while tests based on either a simple modification to the conventional standard error formula or a variance-stabilizing transformation both maintain close-to-nominal Type I error.","2019-03","2019-10-07 21:20:26","2019-10-28 20:29:07","","57-71","","1","10","","Res. Synth. Methods","","","","","","","","English","","","","","","","WOS:000461871700005","","C:\Users\zn18986\Zotero\storage\PY7NZQTS\Pustejovskyei and Rodgers - 2019 - Testing for funnel plot asymmetry of standardized .pdf","","publication bias; meta-analysis; registered-reports; detect publication bias; estimating effect   size; meta-regression; metaanalysis; outcome reporting bias; robust variance-estimation; self-control; standardized   mean difference; include; note","","pustejovskyei2019"
"HJBGAX49","journalArticle","2019","Rapp, David N.","Registered Reports in Discourse Processes","Discourse Processes","","0163-853X","10.1080/0163853x.2019.1529097","","","2019-01-02","2019-10-07 21:20:26","2019-10-28 23:15:49","","1-1","","1","56","","Discl. Process.","","","","","","","","English","","","","","","","WOS:000450458900001","","C:\Users\zn18986\Zotero\storage\CTQ2Y7UY\Rapp - 2019 - Registered Reports in Discourse Processes.pdf","","include; announcement_RRs; note","","rapp2019"
"YCE8ZBLT","journalArticle","2019","Rice, Danielle B.; Moher, David","Curtailing the Use of Preregistration: A Misused Term","Perspectives on Psychological Science","","1745-6916","10.1177/1745691619858427","","Improving the usability of psychological research has been encouraged through practices such as prospectively registering research plans. Registering research aligns with the open-science movement, as the registration of research protocols in publicly accessible domains can result in reduced research waste and increased study transparency. In medicine and psychology, two different terms, registration and preregistration, have been used to refer to study registration, but applying inconsistent terminology to represent one concept can complicate both educational outreach and epidemiological investigation. Consistently using one term across disciplines to refer to the concept of study registration may improve the understanding and uptake of this practice, thereby supporting the movement toward improving the reliability and reproducibility of research through study registration. We recommend encouraging use of the original term, registration, given its widespread and long-standing use, including in national registries.","2019","2019-10-07 21:20:26","2019-10-28 20:55:24","","UNSP 1745691619858427","","","","","Perspect. Psychol. Sci.","","","","","","","","English","","","","","","","WOS:000483904100001","","C:\Users\zn18986\Zotero\storage\QWKQZ25I\Rice and Moher - Curtailing the Use of Preregistration A Misused T.pdf","","preregistration; include; history_registration; trial_registration; note","","rice2019"
"PCEE9MWV","journalArticle","2017","Robertson, Miranda","Who needs registered reports?","Bmc Biology","","1741-7007","10.1186/s12915-017-0394-2","","Registered Reports, an article format initiated to help promote transparency and reproducibility in the preclinical and social sciences, are spreading into the biological literature. The format is now offered by BMC Biology, in a spirit of experiment.","2017-06-15","2019-10-07 21:20:26","2019-10-28 22:42:08","","49","","","15","","BMC Biol.","","","","","","","","English","","","","","","","WOS:000403322700001","","C:\Users\zn18986\Zotero\storage\DYX23A4J\Robertson - 2017 - Who needs registered reports.pdf","","include_key; empirical_case_study; announcement_RRs","","robertson2017"
"BAKR2ELM","journalArticle","2018","Rothermund, Klaus; Koole, Sander L.","Three decades of Cognition & Emotion: A brief review of past highlights and future prospects","Cognition & Emotion","","0269-9931","10.1080/02699931.2018.1418197","","Over the past three decades, Cognition & Emotion has been one of the world's leading outlets for emotion research. In this article, we review past highlights of and future prospects for the journal. Our tour of history covers three periods: The first period, from 1987 to 1999, was a pioneering era in which cognitive theories began to be applied to the scientific analysis of emotion. The second period, from 2000 to 2007, was characterised by a sharp increase in the number of empirical research papers, a lot of which were concerned with automatic processing biases and their implications for clinical psychology. During the third period, from 2008 to 2017, a new focus emerged on self-regulatory processes and their implications for emotion. We then turn to the present profile of Cognition & Emotion and introduce our new editorial team. Finally, we consider how the journal's future success can be continued and increased by a) providing authors with fast and high-quality feedback; b) offering attractive publication formats, including the newly introduced Registered Reports for pre-registered studies; and c) consolidating key methodological paradigms with reproducible findings.","2018","2019-10-07 21:20:26","2019-10-28 20:29:07","","1-12","","1","32","","Cogn. Emot.","","","","","","","","English","","","","","","","WOS:000424988300001","","C:\Users\zn18986\Zotero\storage\2QUEZTZ5\Rothermund and Koole - 2018 - Three decades of Cognition & Emotion A brief revi.pdf","","psychology; disorders; psychopathology; affective processing biases; anxiety; appraisal; basic emotions; cognition and emotion; cognitive theories of emotion; emotion regulation; Historical review; life; memory; perspectives; registered replication report; special-issue; include; note","","rothermund2018"
"VIEN55CQ","journalArticle","2015","Rotteveel, Mark; Gierholz, Alexander; Koch, Gijs; van Aalst, Cherelle; Pinto, Yair; Matzke, Dora; Steingroever, Helen; Verhagen, Josine; Beek, Titia F.; Selker, Ravi; Sasiadek, Adam; Wagenmakers, Eric-Jan","On the automatic link between affect and tendencies to approach and avoid: Chen and Bargh (1999) revisited","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2015.00335","","Within the literature on emotion and behavioral action, studies on approach-avoidance take up a prominent place. Several experimental paradigms feature successful conceptual replications but many original studies have not yet been replicated directly. We present such a direct replication attempt of two seminal experiments originally conducted by Chen and Bargh (1999). In their first experiment, participants effectively evaluated attitude objects by pulling or pushing a lever. Participants who had to pull the lever with positively valenced attitude objects and push the lever with negatively valenced attitude objects (i.e., congruent instruction) did so faster than participants who had to follow the reverse (i.e., incongruent) instruction. In Chen and Bargh's second experiment, the explicit evaluative instructions were absent and participants merely responded to the attitude objects by either always pushing or always pulling the lever. Similar results were obtained as in Experiment 1. Based on these findings, Chen and Bargh concluded that (1) attitude objects are evaluated automatically; and (2) attitude objects automatically trigger a behavioral tendency to approach or avoid. We attempted to replicate both experiments and failed to find the effects reported by Chen and Bargh as indicated by our pre-registered Bayesian data analyses; nevertheless, the evidence in favor of the null hypotheses was only anecdotal, and definitive conclusions await further study.","2015-04-02","2019-10-07 21:20:26","2019-11-04 14:25:58","","335","","","6","","Front. Psychol.","","","","","","","","English","","","","","","","WOS:000352203900001","","C:\Users\zn18986\Zotero\storage\TFDIVB2R\Rotteveel et al. - 2015 - On the automatic link between affect and tendencie.pdf","","affect; approach; avoidance; crisis; default bayes factors; emotion; generality; hypothesis; include; note; predispositions; registered-reports; replication","","rotteveel2015"
"MXKW286V","journalArticle","2019","Shaw, Steven R.; D'Intino, Joseph S.; Lysenko, Ekaterina","Registered Reports, Replication, and the Canadian Journal of School Psychology: Improving the Evidence in Evidence-Based School Psychology","Canadian Journal of School Psychology","","0829-5735","10.1177/0829573519843027","","The Canadian Journal of School Psychology (CJSP) is offering scholars the opportunity to register research reports and make research protocols publicly available to promote replication, transparency, credibility, and utility for clinical practice. The purpose of this article is to outline the challenges regarding replication, reproducibility, and evidence-based practices, as well as describe the submission protocol and criteria for acceptance of registered reports. Advances and criticisms of the registered reports model are discussed. Although CJSP will accept submissions through the traditional peer-review model, registered reports and support of replication studies have the objective of promoting high-quality research to improve the research foundation for evidence-based practices in the profession of school psychology.","2019-09","2019-10-07 21:20:26","2019-11-04 01:55:58","","175-187","","3","34","","Can. J. Sch. Psychol.","","","","","","","","English","","","","","","","WOS:000479292700001","","C:\Users\zn18986\Zotero\storage\D9I3IRIW\Shaw et al. - 2019 - Registered Reports, Replication, and the Canadian .pdf","","publication bias; incentives; editorial; crisis; evidence-based interventions; improving research; registered   reports; replications; announcement_RRs; include_key_has_critique","","shaw2019"
"TXVTW5JT","journalArticle","2019","Smith, Graeme D.; Penny, Kay I.","Enhancing research integrity in academic nursing: The introduction of registered reports","Journal of Clinical Nursing","","0962-1067","10.1111/jocn.14770","","","2019-04","2019-10-07 21:20:26","2019-10-28 23:01:58","","1037-1038","","7-8","28","","J. Clin. Nurs.","","","","","","","","English","","","","","","","WOS:000460767400001","","C:\Users\zn18986\Zotero\storage\LJR96M9A\Smith and Penny - 2019 - Enhancing research integrity in academic nursing .pdf","","include; announcement_RRs; note","","smith2019"
"8P3YJM59","journalArticle","2018","Spiller, Tobias R.; Olff, Miranda","Reducing uncertainty in research: introducing registered reports","European Journal of Psychotraumatology","","2000-8066","10.1080/20008198.2018.1554417","","","2018-12-13","2019-10-07 21:20:26","2019-10-28 23:21:57","","1554417","","1","9","","Eur. J. Psychotraumatol.","","","","","","","","English","","","","","","","WOS:000453713200001","","C:\Users\zn18986\Zotero\storage\PLHPH525\Spiller and Olff - 2018 - Reducing uncertainty in research introducing regi.pdf","","include_key_has_critique","","spiller2018"
"2RVYLZ2V","journalArticle","2018","Syed, Moin","Open Science Initiatives at Emerging Adulthood","Emerging Adulthood","","2167-6968","10.1177/2167696818810103","","This editorial reports on concrete changes in expectations and practices at Emerging Adulthood that are effective immediately. These include: aligning with Level 1 of the Transparency and Openness Promotion (TOP) Guidelines, adding Registered Reports as a submission option, accepting commentaries on articles published in any journal, and making open science badges available to authors.","2018-12","2019-10-07 21:20:26","2019-11-04 16:28:50","","371-374","","6","6","","Emerg. Adulthood","","","","","","","","English","","","","","","","WOS:000450024100001","","C:\Users\zn18986\Zotero\storage\2UN2TUHR\Syed - 2018 - Open Science Initiatives at Emerging Adulthood.pdf","","editorial; include; RRs; announcement_RRs; note","","syed2018"
"EERLHSPL","journalArticle","2018","Tibon, Roni; Henson, Richard","Title TBA: Revising the Abstract Submission Process","Trends in Cognitive Sciences","","1364-6613","10.1016/j.tics.2018.01.008","","Academic conferences are among the most prolific scientific activities, yet the current abstract submission and review process has serious limitations. We propose a revised process that would address these limitations, achieve some of the aims of Open Science, and stimulate discussion throughout the entire lifecycle of the scientific work.","2018-04","2019-10-07 21:20:26","2019-10-28 20:29:07","","271-274","","4","22","","TRENDS COGN. SCI.","","","","","","","","English","","","","","","","WOS:000428013800001","","C:\Users\zn18986\Zotero\storage\BN4VQ5N4\Tibon and Henson - 2018 - Title TBA Revising the Abstract Submission Proces.pdf","","registered-reports; include; note","","tibon2018"
"QRPW3QM8","journalArticle","2019","Uhlmann, Eric Luis; Ebersole, Charles R.; Chartier, Sage Christopher R.; Errington, Timothy M.; Kidwell, Mallory C.; Lai, Calvin K.; McCarthy, Randy J.; Riegelman, Amy; Silberzahn, Raphael; Nosek, Brian A.","Scientific Utopia III: Crowdsourcing Science","Perspectives on Psychological Science","","1745-6916","10.1177/1745691619850561","","Most scientific research is conducted by small teams of investigators who together formulate hypotheses, collect data, conduct analyses, and report novel findings. These teams operate independently as vertically integrated silos. Here we argue that scientific research that is horizontally distributed can provide substantial complementary value, aiming to maximize available resources, promote inclusiveness and transparency, and increase rigor and reliability. This alternative approach enables researchers to tackle ambitious projects that would not be possible under the standard model. Crowdsourced scientific initiatives vary in the degree of communication between project members from largely independent work curated by a coordination team to crowd collaboration on shared activities. The potential benefits and challenges of large-scale collaboration span the entire research process: ideation, study design, data collection, data analysis, reporting, and peer review. Complementing traditional small science with crowdsourced approaches can accelerate the progress of science and improve the quality of scientific research.","2019-09","2019-10-07 21:20:26","2019-10-28 20:33:01","","711-733","","5","14","","Perspect. Psychol. Sci.","","","","","","","","English","","","","","","","WOS:000485322100001","","C:\Users\zn18986\Zotero\storage\6X5SDXCF\Uhlmann et al. - 2019 - Scientific Utopia III Crowdsourcing Science.pdf","","replication; reproducibility; methodology; power; replicability; reliability; collaboration; crowdsourcing; metascience; teams; impact factor; quality; registered-reports; social-psychology; validity; include; note","","uhlmann2019"
"WTFKJAJJ","journalArticle","2016","van 't Veer, Anna Elisabeth; Giner-Sorolla, Roger","Pre-registration in social psychology-A discussion and suggested template","Journal of Experimental Social Psychology","","0022-1031","10.1016/j.jesp.2016.03.004","","Pre-registration of studies before they are conducted has recently become more feasible for researchers, and is encouraged by an increasing number of journals. However, because the practice of pre-registration is relatively new to psychological science, specific guidelines for the content of registrations are still in a formative stage. After giving a brief history of pre-registration in medical and psychological research, we outline two different models that can be applied reviewed and unreviewed pre-registration and discuss the advantages of each model to science as a whole and to.the individual scientist, as well as some of their drawbacks and limitations. Finally, we present and justify a proposed standard template that can facilitate pre-registration. Researchers can use the template before and during the editorial process to meet article requirements and enhance the robustness of their scholarly efforts. (C) 2016 Elsevier Inc. All rights reserved.","2016-11","2019-10-07 21:20:26","2019-10-28 21:17:28","","2-12","","","67","","J. Exp. Soc. Psychol.","","","","","","","","English","","","","","","","WOS:000384398700002","","C:\Users\zn18986\Zotero\storage\NSXPLRSH\van 't Veer and Giner-Sorolla - 2016 - Pre-registration in social psychology-A discussion.pdf","","include_key_has_critique","","vantveer2016"
"E26EA3JA","journalArticle","2015","van Dick, Rolf","Registered Reports, Advance Articles Online, and the Way Ahead","Journal of Personnel Psychology","","1866-5888","10.1027/1866-5888/a000140","","","2015","2019-10-07 21:21:33","2019-10-28 20:32:54","","1-3","","1","14","","J. Pers. Psychol","","","","","","","","English","","","","","","","WOS:000356028700001","","","","include; note","","vandick2015"
"2NWXBF9V","journalArticle","2015","van't Veer, Anna E.; Gallucci, Marcello; Stel, Marielle; van Beest, Ilja","Unconscious deception detection measured by finger skin temperature and indirect veracity judgments-results of a registered report","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2015.00672","","A pre-registered experiment was conducted to examine psychophysiological responses to being lied to. Bridging research on social cognition and deception detection, we hypothesized that observing a liar compared to a truth-teller would decrease finger skin temperature of observers. Participants first watched two targets while not forewarned that they would later be asked to judge (direct and indirect) veracity, and then watched another two targets while forewarned about this. During both these phases finger skin temperature was measured. Findings pertaining to temperature partly confirmed our main hypothesis. When participants were observing a liar, irrespective of being forewarned, on average finger skin temperature declined over time. In the forewarned phase, temperature trajectories of truth-tellers were higher than those of liars, however, in the not forewarned phase, this pattern was reversed. Results confirmed our further hypotheses that participants judge liars as less likeable and less trustworthy than truth-tellers an indication of indirect deception detection. Our hypothesis that the effect size for trustworthiness would be bigger than that of liking was not supported by the data. Additionally, and also confirming our hypothesis, participants performed around chance level when directly judging whether the target person was lying. Exploratory analyses are reported with regard to truth bias and dependency between direct and indirect veracity judgments. Limitations and directions for future work related to the existence of psychophysiological indicators of deception detection are discussed.","2015-06-08","2019-10-07 21:21:33","2019-10-31 21:13:01","","672","","","6","","Front. Psychol.","","","","","","","","English","","","","","","","WOS:000356046000001","","C:\Users\zn18986\Zotero\storage\F8MMXPP2\van't Veer et al. - 2015 - Unconscious deception detection measured by finger.pdf","","accuracy; beliefs; cold; deception detection; indirect   deception detection; interpersonal relations; multilevel models; physiological markers; psychophysiology; skin temperature; include; note; empirical_RR","","vantveer2015"
